"variable" "activity" "subjectid" "average"
"80" "frequencyaccelerationjerkmeanX" "standing" "20" -0.959710489315069
"81" "frequencyaccelerationjerkmeanX" "standing" "21" -0.976803010674157
"82" "frequencyaccelerationjerkmeanX" "standing" "22" -0.974969214761905
"83" "frequencyaccelerationjerkmeanX" "standing" "23" -0.983283252058823
"84" "frequencyaccelerationjerkmeanX" "standing" "24" -0.98116164057971
"85" "frequencyaccelerationjerkmeanX" "standing" "25" -0.988404654864865
"86" "frequencyaccelerationjerkmeanX" "standing" "26" -0.990586982162162
"87" "frequencyaccelerationjerkmeanX" "standing" "27" -0.987771749375
"88" "frequencyaccelerationjerkmeanX" "standing" "28" -0.968513715189873
"89" "frequencyaccelerationjerkmeanX" "standing" "29" -0.993736906
"90" "frequencyaccelerationjerkmeanX" "standing" "30" -0.967857589322034
"91" "frequencyaccelerationjerkmeanX" "walking" "1" -0.170546964549579
"92" "frequencyaccelerationjerkmeanX" "walking" "2" -0.304615322881356
"93" "frequencyaccelerationjerkmeanX" "walking" "3" -0.304694442551724
"94" "frequencyaccelerationjerkmeanX" "walking" "4" -0.358883413666667
"95" "frequencyaccelerationjerkmeanX" "walking" "5" -0.344954806428571
"96" "frequencyaccelerationjerkmeanX" "walking" "6" -0.150942917824561
"97" "frequencyaccelerationjerkmeanX" "walking" "7" -0.383715797719298
"98" "frequencyaccelerationjerkmeanX" "walking" "8" -0.311198711041667
"99" "frequencyaccelerationjerkmeanX" "walking" "9" -0.314265401346154
"100" "frequencyaccelerationjerkmeanX" "walking" "10" -0.107941107467925
"101" "frequencyaccelerationjerkmeanX" "walking" "11" -0.453265268813559
"102" "frequencyaccelerationjerkmeanX" "walking" "12" -0.08161979534
"103" "frequencyaccelerationjerkmeanX" "walking" "13" -0.290460801694737
"104" "frequencyaccelerationjerkmeanX" "walking" "14" -0.472360616779661
"105" "frequencyaccelerationjerkmeanX" "walking" "15" -0.39082198537037
"106" "frequencyaccelerationjerkmeanX" "walking" "16" -0.44140618254902
"107" "frequencyaccelerationjerkmeanX" "walking" "17" -0.423446094590164
"108" "frequencyaccelerationjerkmeanX" "walking" "18" -0.414797154464286
"109" "frequencyaccelerationjerkmeanX" "walking" "19" 0.0336380997853846
"110" "frequencyaccelerationjerkmeanX" "walking" "20" -0.138717234372549
"111" "frequencyaccelerationjerkmeanX" "walking" "21" -0.200442011365385
"112" "frequencyaccelerationjerkmeanX" "walking" "22" -0.0367047077608696
"113" "frequencyaccelerationjerkmeanX" "walking" "23" -0.290410454881356
"114" "frequencyaccelerationjerkmeanX" "walking" "24" -0.509628168793103
"115" "frequencyaccelerationjerkmeanX" "walking" "25" -0.625595376891892
"116" "frequencyaccelerationjerkmeanX" "walking" "26" -0.36422676440678
"117" "frequencyaccelerationjerkmeanX" "walking" "27" -0.345482736842105
"118" "frequencyaccelerationjerkmeanX" "walking" "28" -0.36260198037037
"119" "frequencyaccelerationjerkmeanX" "walking" "29" -0.210469887150943
"120" "frequencyaccelerationjerkmeanX" "walking" "30" -0.389595631107692
"121" "frequencyaccelerationjerkmeanX" "walkingdownstairs" "1" -0.0276638676122449
"122" "frequencyaccelerationjerkmeanX" "walkingdownstairs" "2" 0.138120681087234
"123" "frequencyaccelerationjerkmeanX" "walkingdownstairs" "3" -0.0906707125102041
"124" "frequencyaccelerationjerkmeanX" "walkingdownstairs" "4" -0.16163290774
"125" "frequencyaccelerationjerkmeanX" "walkingdownstairs" "5" -0.0368012151170213
"126" "frequencyaccelerationjerkmeanX" "walkingdownstairs" "6" 0.136554991314583
"127" "frequencyaccelerationjerkmeanX" "walkingdownstairs" "7" -0.0305226686191489
"128" "frequencyaccelerationjerkmeanX" "walkingdownstairs" "8" 0.214841402815789
"129" "frequencyaccelerationjerkmeanX" "walkingdownstairs" "9" -0.0645354342404762
"130" "frequencyaccelerationjerkmeanX" "walkingdownstairs" "10" 0.181419131002632
"131" "frequencyaccelerationjerkmeanX" "walkingdownstairs" "11" -0.120463004665217
"132" "frequencyaccelerationjerkmeanX" "walkingdownstairs" "12" -0.00701472271717392
"133" "frequencyaccelerationjerkmeanX" "walkingdownstairs" "13" -0.11485155627234
"134" "frequencyaccelerationjerkmeanX" "walkingdownstairs" "14" -0.0337820458644444
"135" "frequencyaccelerationjerkmeanX" "walkingdownstairs" "15" 0.0619687485333333
"136" "frequencyaccelerationjerkmeanX" "walkingdownstairs" "16" -0.155444882765957
"137" "frequencyaccelerationjerkmeanX" "walkingdownstairs" "17" -0.215092049054348
"138" "frequencyaccelerationjerkmeanX" "walkingdownstairs" "18" -0.412728286727273
"139" "frequencyaccelerationjerkmeanX" "walkingdownstairs" "19" 0.474317256051282
"140" "frequencyaccelerationjerkmeanX" "walkingdownstairs" "20" -0.199360430553978
"141" "frequencyaccelerationjerkmeanX" "walkingdownstairs" "21" -0.0377894711288889
"142" "frequencyaccelerationjerkmeanX" "walkingdownstairs" "22" 0.0383364203555556
"143" "frequencyaccelerationjerkmeanX" "walkingdownstairs" "23" 0.201542909494444
"144" "frequencyaccelerationjerkmeanX" "walkingdownstairs" "24" -0.376175794909091
"145" "frequencyaccelerationjerkmeanX" "walkingdownstairs" "25" -0.525789450689655
"146" "frequencyaccelerationjerkmeanX" "walkingdownstairs" "26" -0.201368098258
"147" "frequencyaccelerationjerkmeanX" "walkingdownstairs" "27" -0.0437826262613636
"148" "frequencyaccelerationjerkmeanX" "walkingdownstairs" "28" -0.0268676982326087
"149" "frequencyaccelerationjerkmeanX" "walkingdownstairs" "29" -0.0382458213333333
"150" "frequencyaccelerationjerkmeanX" "walkingdownstairs" "30" -0.234923146633871
"151" "frequencyaccelerationjerkmeanX" "walkingupstairs" "1" -0.479875245660377
"152" "frequencyaccelerationjerkmeanX" "walkingupstairs" "2" -0.258639439729167
"153" "frequencyaccelerationjerkmeanX" "walkingupstairs" "3" -0.478434306271186
"154" "frequencyaccelerationjerkmeanX" "walkingupstairs" "4" -0.418304647307692
"155" "frequencyaccelerationjerkmeanX" "walkingupstairs" "5" -0.289725470425532
"156" "frequencyaccelerationjerkmeanX" "walkingupstairs" "6" -0.244812769960784
"157" "frequencyaccelerationjerkmeanX" "walkingupstairs" "7" -0.454647881960784
"158" "frequencyaccelerationjerkmeanX" "walkingupstairs" "8" -0.200277249165854
"159" "frequencyaccelerationjerkmeanX" "walkingupstairs" "9" -0.402044750408163
"160" "frequencyaccelerationjerkmeanX" "walkingupstairs" "10" -0.20121432216383
"161" "frequencyaccelerationjerkmeanX" "walkingupstairs" "11" -0.495927371666667
"162" "frequencyaccelerationjerkmeanX" "walkingupstairs" "12" -0.385843754230769
"163" "frequencyaccelerationjerkmeanX" "walkingupstairs" "13" -0.506212135636364
"164" "frequencyaccelerationjerkmeanX" "walkingupstairs" "14" -0.383497147037037
"165" "frequencyaccelerationjerkmeanX" "walkingupstairs" "15" -0.2370530733125
"166" "frequencyaccelerationjerkmeanX" "walkingupstairs" "16" -0.546088862941176
"167" "frequencyaccelerationjerkmeanX" "walkingupstairs" "17" -0.360272225833333
"168" "frequencyaccelerationjerkmeanX" "walkingupstairs" "18" -0.589410590172414
"169" "frequencyaccelerationjerkmeanX" "walkingupstairs" "19" -0.2053226461925
"170" "frequencyaccelerationjerkmeanX" "walkingupstairs" "20" -0.256162264623529
"171" "frequencyaccelerationjerkmeanX" "walkingupstairs" "21" -0.436839580425532
"172" "frequencyaccelerationjerkmeanX" "walkingupstairs" "22" -0.0382449785166667
"173" "frequencyaccelerationjerkmeanX" "walkingupstairs" "23" -0.365642513176471
"174" "frequencyaccelerationjerkmeanX" "walkingupstairs" "24" -0.515644617288136
"175" "frequencyaccelerationjerkmeanX" "walkingupstairs" "25" -0.668208156461538
"176" "frequencyaccelerationjerkmeanX" "walkingupstairs" "26" -0.304540556345455
"177" "frequencyaccelerationjerkmeanX" "walkingupstairs" "27" -0.50311385627451
"178" "frequencyaccelerationjerkmeanX" "walkingupstairs" "28" -0.318866730039216
"179" "frequencyaccelerationjerkmeanX" "walkingupstairs" "29" -0.225067771046939
"180" "frequencyaccelerationjerkmeanX" "walkingupstairs" "30" -0.55067842
"181" "frequencyaccelerationjerkmeanY" "laying" "1" -0.9224626098
"182" "frequencyaccelerationjerkmeanY" "laying" "2" -0.982768250416667
"183" "frequencyaccelerationjerkmeanY" "laying" "3" -0.968752113709677
"184" "frequencyaccelerationjerkmeanY" "laying" "4" -0.943969987222222
"185" "frequencyaccelerationjerkmeanY" "laying" "5" -0.965328566153846
"186" "frequencyaccelerationjerkmeanY" "laying" "6" -0.936043420175439
"187" "frequencyaccelerationjerkmeanY" "laying" "7" -0.972531648846154
"188" "frequencyaccelerationjerkmeanY" "laying" "8" -0.975877437407407
"189" "frequencyaccelerationjerkmeanY" "laying" "9" -0.9640828062
"190" "frequencyaccelerationjerkmeanY" "laying" "10" -0.968039173793103
"191" "frequencyaccelerationjerkmeanY" "laying" "11" -0.973882496666667
"192" "frequencyaccelerationjerkmeanY" "laying" "12" -0.963223332
"193" "frequencyaccelerationjerkmeanY" "laying" "13" -0.980375137419355
"194" "frequencyaccelerationjerkmeanY" "laying" "14" -0.969342124313725
"195" "frequencyaccelerationjerkmeanY" "laying" "15" -0.970833221666667
"196" "frequencyaccelerationjerkmeanY" "laying" "16" -0.984752927142857
"197" "frequencyaccelerationjerkmeanY" "laying" "17" -0.977212387746479
"198" "frequencyaccelerationjerkmeanY" "laying" "18" -0.985865325230769
"199" "frequencyaccelerationjerkmeanY" "laying" "19" -0.974878270963855
"200" "frequencyaccelerationjerkmeanY" "laying" "20" -0.9772207075
"201" "frequencyaccelerationjerkmeanY" "laying" "21" -0.972039417111111
"202" "frequencyaccelerationjerkmeanY" "laying" "22" -0.954833264305556
"203" "frequencyaccelerationjerkmeanY" "laying" "23" -0.988230264166667
"204" "frequencyaccelerationjerkmeanY" "laying" "24" -0.982140613888889
"205" "frequencyaccelerationjerkmeanY" "laying" "25" -0.946802003561644
"206" "frequencyaccelerationjerkmeanY" "laying" "26" -0.987115080789474
"207" "frequencyaccelerationjerkmeanY" "laying" "27" -0.985257277297297
"208" "frequencyaccelerationjerkmeanY" "laying" "28" -0.978094827375
"209" "frequencyaccelerationjerkmeanY" "laying" "29" -0.989398823913043
"210" "frequencyaccelerationjerkmeanY" "laying" "30" -0.971696279857143
"211" "frequencyaccelerationjerkmeanY" "sitting" "1" -0.981579467021277
"212" "frequencyaccelerationjerkmeanY" "sitting" "2" -0.977139702826087
"213" "frequencyaccelerationjerkmeanY" "sitting" "3" -0.954170151346154
"214" "frequencyaccelerationjerkmeanY" "sitting" "4" -0.9442983908
"215" "frequencyaccelerationjerkmeanY" "sitting" "5" -0.954237489772727
"216" "frequencyaccelerationjerkmeanY" "sitting" "6" -0.947070821272727
"217" "frequencyaccelerationjerkmeanY" "sitting" "7" -0.969423612916667
"218" "frequencyaccelerationjerkmeanY" "sitting" "8" -0.980221104565217
"219" "frequencyaccelerationjerkmeanY" "sitting" "9" -0.9580073906
"220" "frequencyaccelerationjerkmeanY" "sitting" "10" -0.980962856111111
"221" "frequencyaccelerationjerkmeanY" "sitting" "11" -0.967454617735849
"222" "frequencyaccelerationjerkmeanY" "sitting" "12" -0.964236191372549
"223" "frequencyaccelerationjerkmeanY" "sitting" "13" -0.983914101836735
"224" "frequencyaccelerationjerkmeanY" "sitting" "14" -0.968951769814815
"225" "frequencyaccelerationjerkmeanY" "sitting" "15" -0.978159013220339
"226" "frequencyaccelerationjerkmeanY" "sitting" "16" -0.981752167391304
"227" "frequencyaccelerationjerkmeanY" "sitting" "17" -0.9883274196875
"228" "frequencyaccelerationjerkmeanY" "sitting" "18" -0.983642391578947
"229" "frequencyaccelerationjerkmeanY" "sitting" "19" -0.979141571643836
"230" "frequencyaccelerationjerkmeanY" "sitting" "20" -0.971158287575758
"231" "frequencyaccelerationjerkmeanY" "sitting" "21" -0.979180438588235
"232" "frequencyaccelerationjerkmeanY" "sitting" "22" -0.963129472580645
"233" "frequencyaccelerationjerkmeanY" "sitting" "23" -0.978136218235294
"234" "frequencyaccelerationjerkmeanY" "sitting" "24" -0.979228238382353
"235" "frequencyaccelerationjerkmeanY" "sitting" "25" -0.982957002923077
"236" "frequencyaccelerationjerkmeanY" "sitting" "26" -0.985862886410256
"237" "frequencyaccelerationjerkmeanY" "sitting" "27" -0.985238583714286
"238" "frequencyaccelerationjerkmeanY" "sitting" "28" -0.963054247083333
"239" "frequencyaccelerationjerkmeanY" "sitting" "29" -0.983883193
"240" "frequencyaccelerationjerkmeanY" "sitting" "30" -0.980405717258064
"241" "frequencyaccelerationjerkmeanY" "standing" "1" -0.985418704528302
"242" "frequencyaccelerationjerkmeanY" "standing" "2" -0.970851337962963
"243" "frequencyaccelerationjerkmeanY" "standing" "3" -0.943497973606557
"244" "frequencyaccelerationjerkmeanY" "standing" "4" -0.937624242142857
"245" "frequencyaccelerationjerkmeanY" "standing" "5" -0.93137020875
"246" "frequencyaccelerationjerkmeanY" "standing" "6" -0.951405464912281
"247" "frequencyaccelerationjerkmeanY" "standing" "7" -0.967165093018868
"248" "frequencyaccelerationjerkmeanY" "standing" "8" -0.976177675
"249" "frequencyaccelerationjerkmeanY" "standing" "9" -0.962624298888889
"250" "frequencyaccelerationjerkmeanY" "standing" "10" -0.942187760454545
"251" "frequencyaccelerationjerkmeanY" "standing" "11" -0.979287024255319
"252" "frequencyaccelerationjerkmeanY" "standing" "12" -0.95329178
"253" "frequencyaccelerationjerkmeanY" "standing" "13" -0.977752775438597
"254" "frequencyaccelerationjerkmeanY" "standing" "14" -0.967249904833333
"255" "frequencyaccelerationjerkmeanY" "standing" "15" -0.967884709433962
"256" "frequencyaccelerationjerkmeanY" "standing" "16" -0.982425403974359
"257" "frequencyaccelerationjerkmeanY" "standing" "17" -0.986278342435897
"258" "frequencyaccelerationjerkmeanY" "standing" "18" -0.975243689589041
"259" "frequencyaccelerationjerkmeanY" "standing" "19" -0.970011345890411
"260" "frequencyaccelerationjerkmeanY" "standing" "20" -0.935717554109589
"261" "frequencyaccelerationjerkmeanY" "standing" "21" -0.964503015505618
"262" "frequencyaccelerationjerkmeanY" "standing" "22" -0.952141454126984
"263" "frequencyaccelerationjerkmeanY" "standing" "23" -0.975176561617647
"264" "frequencyaccelerationjerkmeanY" "standing" "24" -0.967720592463768
"265" "frequencyaccelerationjerkmeanY" "standing" "25" -0.972554452972973
"266" "frequencyaccelerationjerkmeanY" "standing" "26" -0.976267058648649
"267" "frequencyaccelerationjerkmeanY" "standing" "27" -0.97586868
"268" "frequencyaccelerationjerkmeanY" "standing" "28" -0.93516897835443
"269" "frequencyaccelerationjerkmeanY" "standing" "29" -0.983194980615385
"270" "frequencyaccelerationjerkmeanY" "standing" "30" -0.957434887457627
"271" "frequencyaccelerationjerkmeanY" "walking" "1" -0.0352255241130632
"272" "frequencyaccelerationjerkmeanY" "walking" "2" -0.0787640836610169
"273" "frequencyaccelerationjerkmeanY" "walking" "3" -0.140508590224138
"274" "frequencyaccelerationjerkmeanY" "walking" "4" -0.279553391533333
"275" "frequencyaccelerationjerkmeanY" "walking" "5" -0.181055554206071
"276" "frequencyaccelerationjerkmeanY" "walking" "6" -0.0753742321614035
"277" "frequencyaccelerationjerkmeanY" "walking" "7" -0.123192887383684
"278" "frequencyaccelerationjerkmeanY" "walking" "8" 0.0796832872416667
"279" "frequencyaccelerationjerkmeanY" "walking" "9" -0.367706595
"280" "frequencyaccelerationjerkmeanY" "walking" "10" 0.0309052018326415
"281" "frequencyaccelerationjerkmeanY" "walking" "11" -0.241801726186441
"282" "frequencyaccelerationjerkmeanY" "walking" "12" -0.1413740705982
"283" "frequencyaccelerationjerkmeanY" "walking" "13" -0.0439195137368421
"284" "frequencyaccelerationjerkmeanY" "walking" "14" -0.376766600508475
"285" "frequencyaccelerationjerkmeanY" "walking" "15" -0.0669378062222222
"286" "frequencyaccelerationjerkmeanY" "walking" "16" -0.454270822156863
"287" "frequencyaccelerationjerkmeanY" "walking" "17" -0.194232721737705
"288" "frequencyaccelerationjerkmeanY" "walking" "18" -0.361908549464286
"289" "frequencyaccelerationjerkmeanY" "walking" "19" 0.0107318703980769
"290" "frequencyaccelerationjerkmeanY" "walking" "20" 0.157933952294118
"291" "frequencyaccelerationjerkmeanY" "walking" "21" -0.112564739084615
"292" "frequencyaccelerationjerkmeanY" "walking" "22" 0.159995613695652
"293" "frequencyaccelerationjerkmeanY" "walking" "23" -0.155488720747458
"294" "frequencyaccelerationjerkmeanY" "walking" "24" -0.352829307068966
"295" "frequencyaccelerationjerkmeanY" "walking" "25" -0.43445519972973
"296" "frequencyaccelerationjerkmeanY" "walking" "26" -0.298531982474576
"297" "frequencyaccelerationjerkmeanY" "walking" "27" -0.194767362438596
"298" "frequencyaccelerationjerkmeanY" "walking" "28" -0.294548344814815
"299" "frequencyaccelerationjerkmeanY" "walking" "29" -0.0880213408433962
"300" "frequencyaccelerationjerkmeanY" "walking" "30" -0.299525343907692
"301" "frequencyaccelerationjerkmeanY" "walkingdownstairs" "1" -0.12866715764898
"302" "frequencyaccelerationjerkmeanY" "walkingdownstairs" "2" 0.0962091607617021
"303" "frequencyaccelerationjerkmeanY" "walkingdownstairs" "3" -0.135938542632653
"304" "frequencyaccelerationjerkmeanY" "walkingdownstairs" "4" -0.172941628735556
"305" "frequencyaccelerationjerkmeanY" "walkingdownstairs" "5" -0.0568032957531915
"306" "frequencyaccelerationjerkmeanY" "walkingdownstairs" "6" 0.1372024523
"307" "frequencyaccelerationjerkmeanY" "walkingdownstairs" "7" -0.316236510319149
"308" "frequencyaccelerationjerkmeanY" "walkingdownstairs" "8" 0.220639687868421
"309" "frequencyaccelerationjerkmeanY" "walkingdownstairs" "9" -0.313643041809524
"310" "frequencyaccelerationjerkmeanY" "walkingdownstairs" "10" -0.119504295573684
"311" "frequencyaccelerationjerkmeanY" "walkingdownstairs" "11" -0.177479240097826
"312" "frequencyaccelerationjerkmeanY" "walkingdownstairs" "12" 0.00639406888695652
"313" "frequencyaccelerationjerkmeanY" "walkingdownstairs" "13" -0.207812348246809
"314" "frequencyaccelerationjerkmeanY" "walkingdownstairs" "14" 0.164775056133333
"315" "frequencyaccelerationjerkmeanY" "walkingdownstairs" "15" -0.0269769415214286
"316" "frequencyaccelerationjerkmeanY" "walkingdownstairs" "16" -0.289957855489362
"317" "frequencyaccelerationjerkmeanY" "walkingdownstairs" "17" -0.351268404347826
"318" "frequencyaccelerationjerkmeanY" "walkingdownstairs" "18" -0.465982666363636
"319" "frequencyaccelerationjerkmeanY" "walkingdownstairs" "19" 0.276716853307692
"320" "frequencyaccelerationjerkmeanY" "walkingdownstairs" "20" 0.20582901724
"321" "frequencyaccelerationjerkmeanY" "walkingdownstairs" "21" -0.107306347733333
"322" "frequencyaccelerationjerkmeanY" "walkingdownstairs" "22" -0.00309155313333333
"323" "frequencyaccelerationjerkmeanY" "walkingdownstairs" "23" -0.0724504562777778
"324" "frequencyaccelerationjerkmeanY" "walkingdownstairs" "24" -0.2258243574
"325" "frequencyaccelerationjerkmeanY" "walkingdownstairs" "25" -0.415699643793103
"326" "frequencyaccelerationjerkmeanY" "walkingdownstairs" "26" -0.165552378156
"327" "frequencyaccelerationjerkmeanY" "walkingdownstairs" "27" -0.170975270611364
"328" "frequencyaccelerationjerkmeanY" "walkingdownstairs" "28" -0.0127039720456522
"329" "frequencyaccelerationjerkmeanY" "walkingdownstairs" "29" -0.0977850659541667
"330" "frequencyaccelerationjerkmeanY" "walkingdownstairs" "30" -0.224992780432258
"331" "frequencyaccelerationjerkmeanY" "walkingupstairs" "1" -0.41344458754717
"332" "frequencyaccelerationjerkmeanY" "walkingupstairs" "2" -0.1878421317125
"333" "frequencyaccelerationjerkmeanY" "walkingupstairs" "3" -0.283772547471017
"334" "frequencyaccelerationjerkmeanY" "walkingupstairs" "4" -0.297805187243462
"335" "frequencyaccelerationjerkmeanY" "walkingupstairs" "5" -0.19681792087234
"336" "frequencyaccelerationjerkmeanY" "walkingupstairs" "6" -0.122991594331373
"337" "frequencyaccelerationjerkmeanY" "walkingupstairs" "7" -0.53707567
"338" "frequencyaccelerationjerkmeanY" "walkingupstairs" "8" -0.0257952590634146
"339" "frequencyaccelerationjerkmeanY" "walkingupstairs" "9" -0.608498592040816
"340" "frequencyaccelerationjerkmeanY" "walkingupstairs" "10" -0.206872839212766
"341" "frequencyaccelerationjerkmeanY" "walkingupstairs" "11" -0.455317917037037
"342" "frequencyaccelerationjerkmeanY" "walkingupstairs" "12" -0.333077590961538
"343" "frequencyaccelerationjerkmeanY" "walkingupstairs" "13" -0.368996179072727
"344" "frequencyaccelerationjerkmeanY" "walkingupstairs" "14" -0.347606639592593
"345" "frequencyaccelerationjerkmeanY" "walkingupstairs" "15" -0.338102216666667
"346" "frequencyaccelerationjerkmeanY" "walkingupstairs" "16" -0.468605205294118
"347" "frequencyaccelerationjerkmeanY" "walkingupstairs" "17" -0.37705192875
"348" "frequencyaccelerationjerkmeanY" "walkingupstairs" "18" -0.579650286034483
"349" "frequencyaccelerationjerkmeanY" "walkingupstairs" "19" -0.073928372175
"350" "frequencyaccelerationjerkmeanY" "walkingupstairs" "20" -0.312161098966667
"351" "frequencyaccelerationjerkmeanY" "walkingupstairs" "21" -0.205067301297872
"352" "frequencyaccelerationjerkmeanY" "walkingupstairs" "22" -0.0751829281833333
"353" "frequencyaccelerationjerkmeanY" "walkingupstairs" "23" -0.326236287627451
"354" "frequencyaccelerationjerkmeanY" "walkingupstairs" "24" -0.527604243559322
"355" "frequencyaccelerationjerkmeanY" "walkingupstairs" "25" -0.640849424923077
"356" "frequencyaccelerationjerkmeanY" "walkingupstairs" "26" -0.419344696
"357" "frequencyaccelerationjerkmeanY" "walkingupstairs" "27" -0.44246561254902
"358" "frequencyaccelerationjerkmeanY" "walkingupstairs" "28" -0.358009373333333
